#separator:tab
#html:true
#notetype column:0
#tags column:8
Chapter 1 &mdash; Introduction: how is it examined?			<span class="sub"><span class="sm">20 hrs &nbsp;\(\cdot\)&nbsp;asked in <span class="mk">all 29 papers</span> &nbsp;\(\cdot\)&nbsp;6 syllabus units, 28 sub-topics &nbsp;\(\cdot\)&nbsp;<span class="mk">932 marks, 39.6% of the archive</span> \(\rightarrow\) the biggest chapter by far: about 21 of every 80 marks.</span></span><br> <b><span class="sm">READ THIS FIRST</span></b> <br>Chapter 1 is pure theory, and almost every question is <span class="mk">an 8-mark question split 4+4, 3+5 or 2+6</span>: two lists glued together. Learn the lists below as lists. <ol><li><b>Six lists carry the chapter</b>, each asked in 9 to 16 papers: importance of     organization, principles of organization, formal vs informal organization, functions of     management, levels + skills of management, and the three classical theories (Taylor,     Fayol, Mayo).</li><li><b>Forms of ownership and structures</b> are compare-and-choose questions:     &ldquo;JSC vs partnership&rdquo;, &ldquo;line &amp; staff vs line&rdquo;, &ldquo;which structure for an engineering     project&rdquo;. The comparison tables in \(\S\)1.4 and \(\S\)1.5 answer them directly.</li><li><b>Purchasing and marketing</b>: two questions set every year in some form     (functions of purchasing; importance of marketing).</li></ol> Tier chips count <b>papers out of 29</b> (2065&ndash;2082 BS): <span class="tier tTOP">TOP&nbsp;n</span> asked in 8+ papers &nbsp;<span class="tier tHOT">HOT&nbsp;n</span> 4&ndash;7 papers &nbsp;<span class="tier tPIN">PIN&nbsp;n</span> 1&ndash;3 papers inside an 8-mark question &nbsp;<span class="tier tLOW">LOW&nbsp;n</span> 1&ndash;3 papers, short note only. Bold year = Regular exam.<hr>		Ch 1 - Introduction		opener	ch1 opener
Define organization. Why is it necessary? Explain its importance and role in society	<span class="m">1</span><span class="m">2</span><span class="m">3</span><span class="m">4</span><span class="m">5</span><span class="m">8</span>		<div class="lead">Definition</div> <ul><li><b>Mooney and Reiley</b>: &ldquo;Organization is the form of every human association for     the attainment of a common purpose.&rdquo;</li><li>Working definition: a <b>collection of people working together in a coordinated     and structured way to achieve one or more goals</b>.</li><li>As a <b>process</b>: identifying + grouping work \(\rightarrow\) defining +     delegating responsibility and authority \(\rightarrow\) establishing relationships so people     work effectively together.</li><li>Three views of the same thing (AJ Sir): <b>goal-oriented system</b> (people work     for specific goals), <b>social system</b> (people work in groups),     <b>technological system</b> (people apply knowledge and techniques).</li></ul><div class="cols"><div class="col"><div class="lead">Necessity (why we need organization)</div> <ul><li><b>Complexity of industry</b>: large plants, complex methods need structure.</li><li><b>Growing competition</b>: required quantity + quality, at required time, at     minimum cost.</li><li><b>Optimum use of resources</b>: men, machines, materials, money.</li><li><b>Fixes authority and responsibility</b> \(\rightarrow\) no confusion, no conflict.</li><li><b>Coordination</b> of efforts of many people toward one goal.</li><li><b>Reduces labour problems</b>; <b>facilitates administration</b>.</li><li><b>Stimulates creativity</b> and specialization.</li><li>People achieve together what no individual can alone; diverse skills, more     resources.</li></ul> <i>Andrew Carnegie</i>: take away the money and the works but leave the organization, and he would rebuild within a few years. Success depends on organization.</div><div class="col"><div class="lead">Importance / role in society</div> <ul><li><b>Produces goods and services</b> society needs (food, power, transport).</li><li><b>Employment</b> and income \(\rightarrow\) livelihood for millions.</li><li><b>Development</b>: hospitals, schools, universities, banks, telecom, roads.</li><li><b>Raises living standard</b>: better products at lower cost.</li><li><b>Innovation and technology</b>: research, new products.</li><li><b>Revenue to government</b> (taxes) \(\rightarrow\) public services.</li><li><b>Social welfare</b>: CSR, cooperatives, NGOs serve the weak.</li><li><b>Civilization itself</b> is organized effort: without organization there is     only self-sufficiency, no division of labour, no trade.</li><li><b>Can we sustain without organization?</b> No: every need beyond bare survival     (education, health, security) is delivered by some organization.</li></ul></div></div><div class="qh">Role of organization in an employee&#x27;s professional growth <span class="m">4</span></div> <span class="sub"><span class="sm"><span class="tier tPIN">PIN&nbsp;2</span> <span class="yr"><b>81 Bh</b>, <b>75 Ch</b></span> &nbsp;\(\cdot\)&nbsp;always paired with &ldquo;do we need informal organization?&rdquo; (below)</span></span> <ul><li><b>Training and development</b>: on-the-job training, workshops, higher study.</li><li><b>Career path</b>: promotion through levels, job rotation, wider responsibility.</li><li><b>Performance appraisal / merit rating</b> \(\rightarrow\) feedback, recognition.</li><li><b>Mentoring</b>: seniors and supervisors transfer knowledge (knowledge-oriented model).</li><li><b>Exposure</b>: teamwork, projects, clients, new technology build skills.</li><li><b>Security + remuneration</b>: stable income lets an employee invest in learning.</li></ul>	<span class="sub"><span class="sm"><span class="tier tTOP">TOP&nbsp;16</span> <span class="yr"><b>82 Bh</b>, <b>80 Bh</b>, <b>78 Bh</b>, <b>76 Ch</b>, 76 Ash, <b>75 Ch</b>, 75 Ash, 74 Ash, <b>73 Ch</b>, 73 Shr, <b>72 Ch</b>, 72 Ka, <b>71 Ch</b>, <b>70 Ch</b>, <b>69 Ch</b>, <b>65 Shr</b></span> &nbsp;\(\cdot\)&nbsp;the opener to half the chapter&#x27;s questions</span></span>	Ch 1 - Introduction	1.1 Organization	theory	ch1 theory tier::TOP yr::65-Shr yr::69-Ch yr::70-Ch yr::71-Ch yr::72-Ch yr::72-Ka yr::73-Ch yr::73-Shr yr::74-Ash yr::75-Ash yr::75-Ch yr::76-Ash yr::76-Ch yr::78-Bh yr::80-Bh yr::82-Bh
Role of organization in an employee&#x27;s professional growth	<span class="m">4</span>		<ul><li><b>Training and development</b>: on-the-job training, workshops, higher study.</li><li><b>Career path</b>: promotion through levels, job rotation, wider responsibility.</li><li><b>Performance appraisal / merit rating</b> \(\rightarrow\) feedback, recognition.</li><li><b>Mentoring</b>: seniors and supervisors transfer knowledge (knowledge-oriented model).</li><li><b>Exposure</b>: teamwork, projects, clients, new technology build skills.</li><li><b>Security + remuneration</b>: stable income lets an employee invest in learning.</li></ul>	<span class="sub"><span class="sm"><span class="tier tPIN">PIN&nbsp;2</span> <span class="yr"><b>81 Bh</b>, <b>75 Ch</b></span> &nbsp;\(\cdot\)&nbsp;always paired with &ldquo;do we need informal organization?&rdquo; (below)</span></span>	Ch 1 - Introduction	1.1 Organization	theory	ch1 theory tier::PIN yr::75-Ch yr::81-Bh
Organization as a system: open system, social system, system approach applied to organization	<span class="m">2</span><span class="m">4</span>		<div class="cols"><div class="col"><ul><li><b>System</b> = set of interdependent parts working together toward a goal.</li><li>Organization as a system:   <ul><li><b>Inputs</b>: 5 M&#x27;s, men, materials, machines, money, methods (+ information).</li><li><b>Transformation process</b>: sub-systems (production, finance, marketing,       personnel) convert inputs.</li><li><b>Outputs</b>: products, services, profit, employee satisfaction.</li><li><b>Feedback</b>: customer response, results vs plan \(\rightarrow\) corrections.</li><li><b>Environment</b>: external (social, political, economic, cultural,       technology) and internal (board, employees, culture).</li></ul></li><li><b>Open system</b>: continuously exchanges inputs and outputs with its     environment and must adapt to changes in technology, market, customer needs, rules.     A closed system ignores the environment and decays.</li><li><b>Social system</b>: people interact in groups; their attitudes, perceptions,     norms shape how it works (Mayo, Barnard).</li><li><b>System approach applied</b>: every change (new technology, process) ripples     to people, jobs, skills \(\rightarrow\) plan for change, assess change forces,     implement (Kaila). Also called a change-management plan.</li></ul></div><div class="col"><div class="fig"><img src="o_c1_system.jpg"></div> <span class="sub"><span class="sm">Organization as an open system: inputs, processing sub-systems, outputs, feedback, environment. Adhikari notes, p18.</span></span></div></div>	<span class="sub"><span class="sm"><span class="tier tPIN">PIN&nbsp;3</span> <span class="yr"><b>81 Bh</b>, 79 Ba, <b>70 Ch</b></span></span></span>	Ch 1 - Introduction	1.1 Organization	theory	ch1 theory tier::PIN yr::70-Ch yr::79-Ba yr::81-Bh
Principles of organization	<span class="m">4</span><span class="m">5</span><span class="m">6</span><span class="m">8</span>		<div class="cols"><div class="col"><ol><li><b>Unity of objectives</b>: clear goals for firm, each department, each post.</li><li><b>Division of labour / specialization</b>: work split into jobs matched to skill.</li><li><b>Departmentalization</b>: related activities grouped into units.</li><li><b>Scalar chain / chain of command</b>: clear line of authority top to bottom.</li><li><b>Unity of command</b>: one subordinate, one boss.</li><li><b>Authority = responsibility</b>: authority given must match duty assigned.</li><li><b>Span of control</b>: limited no. of subordinates per supervisor (5&ndash;6 at top,     up to 20 at shop floor).</li><li><b>Delegation</b>: authority pushed down to where decisions are made.</li></ol></div><div class="col"><ol><li><b>Centralization vs decentralization</b> balanced to firm size.</li><li><b>Coordination</b>: departments&#x27; work synchronized.</li><li><b>Simplicity</b>: minimum levels \(\rightarrow\) easy communication.</li><li><b>Flexibility</b>: structure adapts to growth and change.</li><li><b>Communication</b>: free two-way flow, with feedback.</li><li><b>Continuity</b>: structure survives change of people.</li><li><b>Efficiency</b>: goals at minimum cost and effort.</li></ol> <b>Examples</b> (for 82 Bh): a hospital has one medical director per ward (unity of command); a factory foreman supervises 15 workers but a CEO only 5 managers (span); a bank sets branch targets from a national target (unity of objectives).</div></div><div class="qh">Importance of setting goals for an organization <span class="m">3</span></div> <span class="sub"><span class="sm"><span class="tier tPIN">PIN&nbsp;1</span> <span class="yr"><b>82 Bh</b></span></span></span> <ul><li>Gives <b>direction</b>: everyone knows what to achieve.</li><li><b>Basis for planning</b> and resource allocation.</li><li><b>Standard for control</b>: actual results measured against goals.</li><li><b>Motivates</b>: clear, achievable targets (see MBO, \(\S\)1.3).</li><li><b>Coordinates</b> departments toward one end; resolves conflicts.</li></ul>	<span class="sub"><span class="sm"><span class="tier tTOP">TOP&nbsp;9</span> <span class="yr"><b>82 Bh</b>, <b>80 Bh</b>, 76 Ash, <b>74 Ch</b>, <b>72 Ch</b>, 72 Ka, <b>71 Ch</b>, 71 Shr, 70 Asa</span> &nbsp;\(\cdot\)&nbsp;&ldquo;with relevant examples&rdquo; in 82 Bh</span></span>	Ch 1 - Introduction	1.1 Organization	theory	ch1 theory tier::TOP yr::70-Asa yr::71-Ch yr::71-Shr yr::72-Ch yr::72-Ka yr::74-Ch yr::76-Ash yr::80-Bh yr::82-Bh
Importance of setting goals for an organization	<span class="m">3</span>		<ul><li>Gives <b>direction</b>: everyone knows what to achieve.</li><li><b>Basis for planning</b> and resource allocation.</li><li><b>Standard for control</b>: actual results measured against goals.</li><li><b>Motivates</b>: clear, achievable targets (see MBO, \(\S\)1.3).</li><li><b>Coordinates</b> departments toward one end; resolves conflicts.</li></ul>	<span class="sub"><span class="sm"><span class="tier tPIN">PIN&nbsp;1</span> <span class="yr"><b>82 Bh</b></span></span></span>	Ch 1 - Introduction	1.1 Organization	theory	ch1 theory tier::PIN yr::82-Bh
Formal and informal organization: definitions, differences, need for informal organization	<span class="m">2</span><span class="m">3</span><span class="m">4</span><span class="m">5</span>		<ul><li><b>Formal organization</b>: structure <b>deliberately created by management</b>     for enterprise objectives; official network of authority, responsibility and     communication. <b>Chester Barnard</b>: &ldquo;a system of consciously coordinated activities of     two or more persons towards a common objective&rdquo;; exists when people (a) can communicate,     (b) are willing to act, (c) share a purpose.</li><li><b>Informal organization</b>: network of personal and social relations that     <b>emerges spontaneously</b> from friendship, language, culture, common interests.     Barnard: &ldquo;joint personal activity without conscious common purpose, though contributing     to joint results&rdquo;. Has its own informal leader, norms and grapevine.</li></ul> <table class="nt"><tr><th><b class="th">Basis</b></th><th><b class="th">Formal</b></th><th><b class="th">Informal</b></th></tr><tr><td>Origin</td><td>Deliberately created by management</td><td>Spontaneous, social and psychological forces</td></tr><tr><td>Purpose</td><td>Organization&#x27;s legitimate goals</td><td>Members&#x27; social satisfaction</td></tr><tr><td>Size</td><td>Can be very large</td><td>Small groups</td></tr><tr><td>Stability</td><td>Stable, long-lived</td><td>Unstable</td></tr><tr><td>Authority</td><td>Hierarchy, flows top down</td><td>All equal; power flows from the group</td></tr><tr><td>Behaviour</td><td>Rules and regulations</td><td>Group norms, beliefs, values</td></tr><tr><td>Communication</td><td>Official chain of command</td><td>Grapevine, informal channels</td></tr><tr><td>Leadership</td><td>Vested in the manager</td><td>Chosen by the group, may out-power the manager</td></tr><tr><td>Abolition</td><td>Management can abolish it</td><td>Management cannot abolish it</td></tr><tr><td>Chart</td><td>Shown on organization chart</td><td>Never shown</td></tr></table><div class="cols"><div class="col"><div class="lead">Need for informal organization (&ldquo;do we need it indeed?&rdquo;)</div> <ul><li>Yes: it <b>fills gaps</b> the formal structure leaves.</li><li><b>Social satisfaction</b>, sense of belonging \(\rightarrow\) morale.</li><li><b>Fast communication</b> (grapevine) across departments.</li><li><b>Cooperation and teamwork</b> beyond job descriptions.</li><li><b>Safety valve</b> for frustration; eases work pressure.</li><li><b>Feedback to management</b> on real employee mood.</li><li>Risks: rumours, resistance to change, group conflict. Management should     <b>understand and use it</b>, not suppress it (Hawthorne, \(\S\)1.3).</li></ul></div><div class="col"><div class="lead">Informal organization within the same family? (79 Ba)</div> <ul><li><b>Yes</b>. A family is itself an informal organization (no written hierarchy),     yet sub-groups form inside it: siblings, cousins of the same age, members sharing a     hobby or a family business.</li><li>In a <b>family business</b> (single owner or partnership) the formal roles     (owner, manager, accountant) sit alongside informal family loyalties, which often     decide more than the formal roles do.</li></ul></div></div><div class="qh">Historical development of organization <span class="m">3</span></div> <span class="sub"><span class="sm"><span class="tier tPIN">PIN&nbsp;1</span> <span class="yr"><b>79 Bh</b></span></span></span> <div class="cols"><div class="col"><b>1. Pre-industrial era</b> <ul><li>Self-sufficiency (village economy).</li><li>Commercial stage with marketable surplus: barter \(\rightarrow\) money system.</li><li>Means of transport (ships, railways) \(\rightarrow\) wider trade.</li></ul></div><div class="col"><b>2. Modern industrial era</b> <ul><li>Industrial revolution (steam engine, machine tools) \(\rightarrow\) factories.</li><li>Corporate form: joint stock company with limited liability.</li><li>Managerial revolution: scientific management (Taylor, Fayol).</li><li>Mechanization, automation; economic liberalization.</li><li>Globalization: multinationals; GATT (1947), ISO (1947), WTO (1995), SAFTA.</li></ul></div></div><div class="qh">Characteristics / elements of an organization <span class="m">4</span></div> <span class="sub"><span class="sm"><span class="tier tPIN">PIN&nbsp;2</span> <span class="yr"><b>73 Ch</b>, <b>68 Ch</b></span></span></span> <ul><li><b>Group of people</b> (two or more) \(+\) <b>common goal</b>.</li><li><b>Division of work</b> and specialization.</li><li><b>Authority-responsibility structure</b> (hierarchy) and <b>coordination</b>.</li><li><b>Communication</b> network; <b>rules and procedures</b>.</li><li><b>Resources</b>: men, money, materials, machines, methods.</li><li><b>Environment</b> it serves and adapts to; <b>continuity</b> beyond members.</li><li>For business operations add: profit motive, risk bearing, legal identity, customers.</li></ul><div class="qh">Organizational behaviour: a multidisciplinary field; how management affects it <span class="m">4</span></div> <span class="sub"><span class="sm"><span class="tier tHOT">HOT&nbsp;4</span> <span class="yr"><b>68 Ch</b>, <b>68 Ba</b>, <b>67 Asa</b>, <b>66 Bh</b></span> &nbsp;\(\cdot\)&nbsp;2065&ndash;2068 papers only &nbsp;<span class="chip gd">verified/added</span></span></span> <ul><li><b>OB</b> = study of how individuals and groups behave in organizations, to improve     performance and satisfaction.</li><li><b>Multidisciplinary</b>, it borrows from:   <ul><li><b>Psychology</b>: individual learning, motivation, perception, personality.</li><li><b>Sociology</b>: groups, roles, status, culture.</li><li><b>Social psychology</b>: attitude change, group decisions, communication.</li><li><b>Anthropology</b>: values, cultures across societies.</li><li><b>Political science</b>: power, conflict, politics in organizations.</li></ul></li><li><b>Management affects OB</b> through structure, leadership style, reward system,     job design, communication and culture it creates: autocratic control breeds     compliance; participation breeds commitment.</li></ul>	<span class="sub"><span class="sm"><span class="tier tTOP">TOP&nbsp;11</span> <span class="yr">82 Ba, <b>81 Bh</b>, <b>79 Bh</b>, 79 Ba, <b>76 Ch</b>, <b>75 Ch</b>, <b>74 Ch</b>, 73 Shr, 71 Shr, 70 Asa, <b>65 Shr</b></span> &nbsp;\(\cdot\)&nbsp;short note in 65 Shr</span></span>	Ch 1 - Introduction	1.1 Organization	theory	ch1 theory tier::TOP yr::65-Shr yr::70-Asa yr::71-Shr yr::73-Shr yr::74-Ch yr::75-Ch yr::76-Ch yr::79-Ba yr::79-Bh yr::81-Bh yr::82-Ba
Historical development of organization	<span class="m">3</span>		<div class="cols"><div class="col"><b>1. Pre-industrial era</b> <ul><li>Self-sufficiency (village economy).</li><li>Commercial stage with marketable surplus: barter \(\rightarrow\) money system.</li><li>Means of transport (ships, railways) \(\rightarrow\) wider trade.</li></ul></div><div class="col"><b>2. Modern industrial era</b> <ul><li>Industrial revolution (steam engine, machine tools) \(\rightarrow\) factories.</li><li>Corporate form: joint stock company with limited liability.</li><li>Managerial revolution: scientific management (Taylor, Fayol).</li><li>Mechanization, automation; economic liberalization.</li><li>Globalization: multinationals; GATT (1947), ISO (1947), WTO (1995), SAFTA.</li></ul></div></div>	<span class="sub"><span class="sm"><span class="tier tPIN">PIN&nbsp;1</span> <span class="yr"><b>79 Bh</b></span></span></span>	Ch 1 - Introduction	1.1 Organization	theory	ch1 theory tier::PIN yr::79-Bh
Characteristics / elements of an organization	<span class="m">4</span>		<ul><li><b>Group of people</b> (two or more) \(+\) <b>common goal</b>.</li><li><b>Division of work</b> and specialization.</li><li><b>Authority-responsibility structure</b> (hierarchy) and <b>coordination</b>.</li><li><b>Communication</b> network; <b>rules and procedures</b>.</li><li><b>Resources</b>: men, money, materials, machines, methods.</li><li><b>Environment</b> it serves and adapts to; <b>continuity</b> beyond members.</li><li>For business operations add: profit motive, risk bearing, legal identity, customers.</li></ul>	<span class="sub"><span class="sm"><span class="tier tPIN">PIN&nbsp;2</span> <span class="yr"><b>73 Ch</b>, <b>68 Ch</b></span></span></span>	Ch 1 - Introduction	1.1 Organization	theory	ch1 theory tier::PIN yr::68-Ch yr::73-Ch
Organizational behaviour: a multidisciplinary field; how management affects it	<span class="m">4</span>		<ul><li><b>OB</b> = study of how individuals and groups behave in organizations, to improve     performance and satisfaction.</li><li><b>Multidisciplinary</b>, it borrows from:   <ul><li><b>Psychology</b>: individual learning, motivation, perception, personality.</li><li><b>Sociology</b>: groups, roles, status, culture.</li><li><b>Social psychology</b>: attitude change, group decisions, communication.</li><li><b>Anthropology</b>: values, cultures across societies.</li><li><b>Political science</b>: power, conflict, politics in organizations.</li></ul></li><li><b>Management affects OB</b> through structure, leadership style, reward system,     job design, communication and culture it creates: autocratic control breeds     compliance; participation breeds commitment.</li></ul>	<span class="sub"><span class="sm"><span class="tier tHOT">HOT&nbsp;4</span> <span class="yr"><b>68 Ch</b>, <b>68 Ba</b>, <b>67 Asa</b>, <b>66 Bh</b></span> &nbsp;\(\cdot\)&nbsp;2065&ndash;2068 papers only &nbsp;<span class="chip gd">verified/added</span></span></span>	Ch 1 - Introduction	1.1 Organization	theory	ch1 theory tier::HOT yr::66-Bh yr::67-Asa yr::68-Ba yr::68-Ch
