#separator:tab
#html:true
#notetype column:0
#tags column:8
Chapter 1 &mdash; Discrete-Time Signals and Systems: how is it examined?			<span class="sub"><span class="sm">8 hrs &nbsp;\(\cdot\)&nbsp;the largest chapter, <span class="mk">105 questions across the 45 papers</span> &nbsp;\(\cdot\)&nbsp;worth about <span class="mk">12 of 80 marks</span> every year &nbsp;\(\cdot\)&nbsp;10 syllabus sub-topics &nbsp;\(\cdot\)&nbsp;numericals in the Ch1 companion.</span></span><div class="lead">Read this first:</div> <ul><li><span class="mk">Convolution is the single most-asked question in the whole subject</span>: some form of         &ldquo;find \(y(n)\) given \(h(n)\) and \(x(n)\)&#x27;&#x27; appears in <b>34 of 45 papers</b> <span class="tier tTOP">TOP&nbsp;34</span>,         usually for 5 or 6 marks. If you learn one thing in this chapter, learn that.</li><li>The chapter&#x27;s other four regulars, in order:   <ul><li>energy Vs power signal \(+\) is it periodic <span class="tier tTOP">TOP&nbsp;10</span>,</li><li>test a given system for linearity / time-invariance / causality / stability <span class="tier tHOT">HOT&nbsp;7</span>,</li><li>find the fundamental period of a given sequence <span class="tier tHOT">HOT&nbsp;7</span>,</li><li>sampling an analog signal and writing down \(x[n]\) <span class="tier tHOT">HOT&nbsp;7</span>.</li></ul></li><li>Counted by <i>topic</i> rather than by exact question, system properties come up in         <b>16</b> papers and sampling in <b>10</b>, so nothing here is optional.</li><li><span class="mk">The marks sit in the method, not the answer.</span> Almost every question in this         chapter is a 3-line recipe applied to new numbers. Sections 1.3, 1.4, 1.8 and 1.9 each         end with the recipe written out as steps: memorise those, not the worked examples.</li><li>Tier chips count papers out of 45: <span class="tier tTOP">TOP&nbsp;n</span> \(\ge10\) papers, <span class="tier tHOT">HOT&nbsp;n</span> 4&ndash;9, <span class="tier tPIN">PIN&nbsp;n</span> 1&ndash;3.         <b>Bold</b> year codes are Regular exams, plain are Back;         <span class="tt">typewriter</span> codes are <span class="tt">EX 753</span> (BEX) papers.</li></ul><hr>		Ch 1 - Discrete-Time Signals and Systems		opener	ch1 opener
Define and compare continuous-time and discrete-time signals; classify a given signal	<span class="m">2</span><span class="m">3</span>		<div class="cols"><div class="col"><div class="lead">By the independent variable</div> <ul><li><b>Continuous-time (analog)</b>: \(x(t)\) defined for a continuum of \(t\).   <ul><li>Eg speech voltage at a microphone, video signal.</li></ul></li><li><b>Discrete-time</b>: \(x[n]\) defined only at discrete instants, \(n\) integer.   <ul><li>Instants need not be equally spaced, but in practice \(t=nT\) is used.</li><li>Eg monthly sales of a corporation, daily stock-market average.</li><li><span class="mk">\(x[3.12]\) does not exist.</span> A DT signal is a <i>sequence</i>, not a function           sampled finely.</li></ul></li></ul></div><div class="col"><div class="lead">By the value the signal takes</div> <ul><li><b>Continuous-valued</b>: amplitude takes any value in a range.</li><li><b>Discrete-valued</b>: amplitude comes from a finite set.</li><li><b>Digital signal</b> \(=\) discrete in <i>time</i> \(+\) discrete in <i>value</i>.   <ul><li>This is the only kind a processor can store, so A/D does both steps:           sampling (Ch 1.10) then quantization (Ch 8).</li></ul></li><li><span class="mk">Exam trap</span>: &ldquo;discrete-time&#x27;&#x27; and &ldquo;digital&#x27;&#x27; are not synonyms. Sampling alone         gives a discrete-time, continuous-valued signal.</li></ul></div></div>	<span class="sub"><span class="sm"><span class="tier tPIN">PIN&nbsp;3</span> <span class="yr"><b>69 Bh</b>, <b>73 Ch</b>, <b>76 Ch</b></span> &nbsp;\(\cdot\)&nbsp;never asked alone, always as the 2-mark opening of a bigger question</span></span>	Ch 1 - Discrete-Time Signals and Systems	1.1 What a discrete-time signal is, and how it is classified	theory	ch1 theory tier::PIN yr::69-Bh yr::73-Ch yr::76-Ch
Define even and odd discrete-time signals; find the even and odd part of a given signal	<span class="m">2</span><span class="m">3</span><span class="m">4+5</span>		<div class="cols"><div class="col"><div class="lead">Definitions</div> <ul><li><b>Even (symmetric)</b>: \(x[-n]=x[n]\).</li><li><b>Odd (antisymmetric)</b>: \(x[-n]=-x[n]\).</li><li>An odd signal must have \(x[0]=0\), since \(x[0]=-x[0]\).</li><li>Any signal splits into exactly one even \(+\) one odd part.</li></ul> <div class="lead">The two formulas</div> \[ x_e[n]=\tfrac12\big(x[n]+x[-n]\big),\qquad    x_o[n]=\tfrac12\big(x[n]-x[-n]\big) \]</div><div class="col"><div class="lead">Derivation, if the question says &ldquo;show that&#x27;&#x27;</div> <ul><li>Start from \(x[n]=x_e[n]+x_o[n]\)  (1)</li><li>Put \(n\to-n\): \(x[-n]=x_e[-n]+x_o[-n]\)  (2)</li><li>Use \(x_e[-n]=x_e[n]\) and \(x_o[-n]=-x_o[n]\) in (2):         \(x[-n]=x_e[n]-x_o[n]\)  (3)</li><li>(1)\(+\)(3) \(\rightarrow\) \(x[n]+x[-n]=2x_e[n]\).</li><li>(1)\(-\)(3) \(\rightarrow\) \(x[n]-x[-n]=2x_o[n]\).</li></ul> <div class="lead">Method, every time</div> <ol><li>Write \(x[n]\) as a sequence with the \(n=0\) sample marked.</li><li>Fold it to get \(x[-n]\): same samples, index sign flipped.</li><li>Half the sum, half the difference, aligning on \(n\).</li><li><span class="mk">Check</span>: \(x_e\) must be symmetric about \(n=0\) and \(x_o[0]=0\).</li></ol></div></div>	<span class="sub"><span class="sm"><span class="tier tHOT">HOT&nbsp;4</span> <span class="yr"><b>71 Ch</b>, 70 Asa, 71 Shr, <b>67 Mng</b></span> &nbsp;\(\cdot\)&nbsp;plus <b>76 Ch</b> which asks the definition then a plot &nbsp;\(\cdot\)&nbsp;worked instances in <b>Ch1-num &sect;7</b></span></span>	Ch 1 - Discrete-Time Signals and Systems	1.1 What a discrete-time signal is, and how it is classified	theory	ch1 theory tier::HOT yr::67-Mng yr::70-Asa yr::71-Ch yr::71-Shr yr::76-Ch
Define and plot the unit step / unit impulse; explain their relation	<span class="m">1+2</span><span class="m">3</span>		<div class="cols"><div class="col"><div class="fig"><img src="d_c1_elementary.png"></div>  <span class="sub"><span class="sm">The three building blocks and the chain that links them. <span class="yr">BB Sir, deck 1.7</span></span></span></div><div class="col"><div class="lead">The five standard sequences</div> <ul><li><b>Unit impulse</b> \(\delta[n]=1\) at \(n=0\), else \(0\).</li><li><b>Unit step</b> \(u[n]=1\) for \(n\ge0\), else \(0\).</li><li><b>Unit ramp</b> \(r[n]=n\) for \(n\ge0\), else \(0\).</li><li><b>Real exponential</b> \(x[n]=\alpha^n\): decays for \(|\alpha|&lt;1\), grows for         \(|\alpha|&gt;1\), alternates sign when \(\alpha&lt;0\).</li><li><b>Complex exponential</b> \(x[n]=r^ne^{j\theta n}         =r^n(\cos\theta n+j\sin\theta n)\).</li></ul> <div class="lead">Relations worth quoting <span class="mk">(this is the marks)</span></div> \[ \delta[n]=u[n]-u[n-1],\qquad u[n]=\sum_{k=-\infty}^{n}\delta[k] \] <ul><li>Step is the running sum of the impulse; impulse is the first difference of the step.</li><li>Ramp is the running sum of the step: \(\delta\to u\to r\).</li><li><b>Sifting</b>: \(x[n]\delta[n-k]=x[k]\delta[n-k]\), so         \(x[n]=\sum_k x[k]\,\delta[n-k]\). <span class="mk">This one line is what makes convolution         work</span> (&sect;1.9).</li></ul></div></div>	<span class="sub"><span class="sm"><span class="tier tPIN">PIN&nbsp;3</span> <span class="yr"><b>73 Ch</b>, <b>74 Ch</b>, <b>69 Bh</b></span> &nbsp;\(\cdot\)&nbsp;the plotting half is done in <b>Ch1-num &sect;8</b></span></span>	Ch 1 - Discrete-Time Signals and Systems	1.2 Elementary discrete-time signals	theory	ch1 theory tier::PIN yr::69-Bh yr::73-Ch yr::74-Ch
Define / compare energy and power signals, and classify the given signal	<span class="m">2+2</span><span class="m">3</span><span class="m">5</span>		<div class="cols"><div class="col"><div class="lead">Over a finite interval \(n_1\le n\le n_2\)</div> \[ E=\sum_{n=n_1}^{n_2}|x[n]|^2,\qquad    P_{av}=\frac{1}{n_2-n_1+1}\sum_{n=n_1}^{n_2}|x[n]|^2 \] <div class="lead">Over all time</div> \[ E=\lim_{N\to\infty}\sum_{n=-N}^{N}|x[n]|^2,\qquad    P=\lim_{N\to\infty}\frac{1}{2N+1}\sum_{n=-N}^{N}|x[n]|^2 \] <ul><li><b>Energy signal</b>: \(0&lt;E&lt;\infty\), and then \(P=0\).</li><li><b>Power signal</b>: \(0&lt;P&lt;\infty\), and then \(E=\infty\).</li><li><span class="mk">A signal can be neither</span> (Eg \(x[n]=n\)), and <span class="mk">never both</span>.</li></ul></div><div class="col"><div class="lead">How to decide in one line</div> <ol><li>Finite-length or decaying sequence \(\rightarrow\) energy signal.</li><li>Never-ending, bounded, non-decaying \(\rightarrow\) power signal.</li><li><b>Every periodic signal is a power signal</b>, with         \(P=\frac1N\sum_{n=0}^{N-1}|x[n]|^2\) over one period.</li><li><b>Every complex exponential</b> \(e^{j(\omega_0n+\phi)}\) has \(|x[n]|=1\), so         \(P=1\) and \(E=\infty\): <span class="mk">power signal, no calculation needed.</span>         That is the whole answer to 79 Ba and <b>82 Bh</b>.</li></ol> <div class="lead">Standard results to quote</div> <ul><li>\(x[n]=\delta[n]\): \(E=1\), \(P=0\) \(\rightarrow\) energy.</li><li>\(x[n]=u[n]\): \(E=\infty\), \(P=\tfrac12\) \(\rightarrow\) power.         <span class="mk">\(P=\frac12\), not 1</span>: the sum runs over \(2N+1\) samples but only \(N+1\) are         non-zero.</li><li>\(x[n]=A\) (constant): \(E=\infty\), \(P=A^2\) \(\rightarrow\) power.</li><li>\(x[n]=a^nu[n]\), \(|a|&lt;1\): \(E=\dfrac{1}{1-a^2}\) \(\rightarrow\) energy.</li></ul> <div class="lead">Units</div> <ul><li>Follow the signal: a voltage signal gives energy in V\(^2\)s and power in V\(^2\).</li></ul></div></div><div class="lead">Sums you will need in every one of these <span class="mk">(learn this block)</span></div> <div class="cols"><div class="col">\[ \sum_{n=-N}^{N}1=2N+1,\qquad \sum_{n=0}^{N}1=N+1 \] \[ \sum_{n=0}^{N-1}a^n=\begin{cases} N, &amp; a=1\\[2pt]    \dfrac{1-a^N}{1-a}, &amp; a\ne1\end{cases} \]</div><div class="col">\[ \sum_{n=0}^{\infty}a^n=\frac{1}{1-a}\quad (|a|&lt;1),\qquad    \sum_{n=k}^{\infty}a^n=\frac{a^k}{1-a} \] \[ \cos\theta=\tfrac12(e^{j\theta}+e^{-j\theta}),\quad    \sin\theta=\tfrac{1}{2j}(e^{j\theta}-e^{-j\theta}) \]</div></div>	<span class="sub"><span class="sm"><span class="tier tTOP">TOP&nbsp;10</span> <span class="yr"><b>79 Bh</b>, <b>69 Ch</b>, <b>81 Bh</b>, 74 Ash, 79 Ba, <b>82 Bh</b>, 72 Ka, <b>68 Bh</b>, <b>75 Ch</b>, <span class="tt">74 Ma</span></span> &nbsp;\(\cdot\)&nbsp;in <b>81 Bh</b> only the periodicity half is asked &nbsp;\(\cdot\)&nbsp;<b>always paired with &sect;1.4</b> &nbsp;\(\cdot\)&nbsp;worked in <b>Ch1-num &sect;5</b></span></span>	Ch 1 - Discrete-Time Signals and Systems	1.3 Energy and power signals	theory	ch1 theory tier::TOP yr::68-Bh yr::69-Ch yr::72-Ka yr::74-Ash yr::74-Ma yr::75-Ch yr::79-Ba yr::79-Bh yr::81-Bh yr::82-Bh
Determine whether the given sequence is periodic; if it is, find the fundamental period	<span class="m">2+2</span><span class="m">3</span><span class="m">4</span><span class="m">5</span>		<div class="cols"><div class="col"><div class="lead">Definition</div> <ul><li>\(x[n]\) is periodic with period \(N&gt;0\) if \(x[n]=x[n+N]\) for <i>all</i> \(n\).</li><li>Smallest such \(N\) is the <b>fundamental period</b>. \(N\) must be an         <span class="mk">integer</span>: that is the whole difference from the continuous-time case.</li></ul> <div class="lead">The rule, and where it comes from</div> <ul><li>For \(x[n]=e^{j\omega_0n}\) to repeat: \(e^{j\omega_0(n+N)}=e^{j\omega_0n}\)         \(\rightarrow\) \(e^{j\omega_0N}=1\) \(\rightarrow\) \(\omega_0N=2\pi m\).</li><li>So \(\dfrac{\omega_0}{2\pi}=\dfrac{m}{N}\) must be a <b>rational number</b>.</li><li><span class="mk">A discrete-time sinusoid is periodic only if \(\omega_0/2\pi\) is rational.</span></li><li>Then \(N=\dfrac{2\pi m}{\omega_0}\) with \(m\) the smallest integer making \(N\) an integer.</li></ul></div><div class="col"><div class="lead">Method, every time</div> <ol><li>Read off \(\omega_0\) (the coefficient of \(n\) inside \(\cos\), \(\sin\) or the exponent).</li><li>Form \(\omega_0/2\pi\). Irrational \(\rightarrow\) <b>aperiodic</b>, stop.</li><li>Rational \(=m/N\) in lowest terms \(\rightarrow\) fundamental period is \(N\).</li><li>Sum of two periodic signals: \(N=\mathrm{LCM}(N_1,N_2)\), and it is periodic only         if \(N_1/N_2\) is rational.</li></ol> <div class="lead">The three traps the papers actually set</div> <ul><li>\(x[n]=\sin(0.8n)\) or \(e^{j(7/5)n}\): \(\omega_0\) has <span class="mk">no \(\pi\) in it</span>, so         \(\omega_0/2\pi\) is irrational \(\rightarrow\) <b>aperiodic</b>         (<b>66 Ma</b>, <b>69 Bh</b>).</li><li>\(x[n]=\cos(\pi n^2/8)\): \(n^2\), not \(n\) \(\rightarrow\) not a sinusoid, test         \(x[n+N]=x[n]\) directly. It <i>is</i> periodic, \(N=8\) (<b>70 Ch</b>).</li><li>\(\sin(\pi n/\sqrt2+\pi/8)\): the \(\sqrt2\) makes \(\omega_0/2\pi\) irrational         \(\rightarrow\) aperiodic (<b>67 Mng</b>).</li></ul></div></div>	<span class="sub"><span class="sm"><span class="tier tHOT">HOT&nbsp;7</span> <span class="yr"><b>80 Bh</b>, 80 Ba, <b>78 Bh</b>, <b>70 Ch</b>, <b>69 Bh</b>, <b>67 Mng</b>, <b>66 Ma</b></span> &nbsp;\(\cdot\)&nbsp;another <b>10</b> papers ask it as the second half of the energy/power question &nbsp;\(\cdot\)&nbsp;worked in <b>Ch1-num &sect;6</b></span></span>	Ch 1 - Discrete-Time Signals and Systems	1.4 Periodicity of a discrete-time signal	theory	ch1 theory tier::HOT yr::66-Ma yr::67-Mng yr::69-Bh yr::70-Ch yr::78-Bh yr::80-Ba yr::80-Bh
Show that a discrete-time signal is periodic in frequency with period \(2\pi\)	<span class="m">2</span><span class="m">4</span>		<div class="cols"><div class="col"><ul><li>Raise the frequency by \(2\pi\):   \[ e^{j(\omega_0+2\pi)n}=e^{j2\pi n}e^{j\omega_0n}=e^{j\omega_0n} \]         because \(e^{j2\pi n}=1\) for integer \(n\).</li><li>So \(\omega_0\), \(\omega_0\pm2\pi\), \(\omega_0\pm4\pi\ldots\) are the         <span class="mk">same sequence</span>, sample for sample.</li><li>Consequences worth one line each:   <ul><li>All distinct DT frequencies lie in one span of \(2\pi\), usually           \(-\pi\le\omega&lt;\pi\).</li><li>\(\omega=\pi\) is the <b>highest</b> rate of oscillation           (alternating \(+1,-1\)); \(\omega=0\) and \(\omega=2\pi\) are both DC.</li><li>In continuous time nothing like this happens: \(e^{j\Omega t}\) is distinct for           every \(\Omega\).</li></ul></li></ul></div><div class="col"><div class="fig"><img src="d_c1_freq_periodic.png"></div>  <span class="sub"><span class="sm">\(\cos(\omega n)\) at \(\omega=5\), \(5+2\pi\), \(5+4\pi\), \(5+6\pi\): four different formulas, one sequence. <span class="yr">BB Sir, deck 1.1</span></span></span></div></div>	<span class="sub"><span class="sm"><span class="tier tPIN">PIN&nbsp;2</span> <span class="yr"><b>69 Bh</b>, <b>80 Bh</b></span> &nbsp;\(\cdot\)&nbsp;also the reason every DTFT and DFT plot is drawn over one \(2\pi\) span</span></span>	Ch 1 - Discrete-Time Signals and Systems	1.4 Periodicity of a discrete-time signal	theory	ch1 theory tier::PIN yr::69-Bh yr::80-Bh
Plot the transformed sequence, Eg \(x[-2n+3]\) or \(u[n]-u[n-3]+5\delta[n-4]+nu[n-6]\)	<span class="m">2</span><span class="m">3</span><span class="m">3+2</span>		<div class="cols"><div class="col"><div class="lead">The three operations</div> <ul><li><b>Shift</b> \(x[n-k]\): delay by \(k\) (move right) for \(k&gt;0\); advance for \(k&lt;0\).</li><li><b>Fold (time reversal)</b> \(x[-n]\): mirror about \(n=0\).</li><li><b>Scale</b> \(x[an]\):   <ul><li>\(|a|&gt;1\) integer \(=\) <b>decimation</b>, keep every \(a\)-th sample, <span class="mk">samples are           lost</span>.</li><li>\(|a|&lt;1\) \(=\) interpolation, new samples must be filled in.</li><li><span class="mk">Not reversible like the CT case</span>: this is why down-sampling needs its own           treatment.</li></ul></li><li><b>Amplitude operations</b>: addition, multiplication, scaling act sample by         sample on aligned indices.</li></ul></div><div class="col"><div class="lead">Order of operations for \(x[an+b]\) <span class="mk">(where marks are lost)</span></div> <ol><li><b>Shift first, then scale/fold</b>, or you will shift by the wrong amount.</li><li>Safer still: work index by index. Set \(m=an+b\), then for each sample         \(x[m]\) of the original, its new position is \(n=(m-b)/a\).</li><li>Keep only integer \(n\); a non-integer means that sample disappears.</li><li><span class="mk">Check one point</span>: put \(n=0\) into \(an+b\) and confirm the value lands where you         drew it.</li></ol> <div class="lead">Worked index map: \(x[-2n+3]\), \(x[n]=\{1,2,0,-1,-3,-4\}\) starting at \(n=0\)</div> <ul><li>\(n=0\rightarrow x[3]=-1\); \(n=1\rightarrow x[1]=2\);         \(n=-1\rightarrow x[5]=-4\); \(n=2\rightarrow x[-1]=0\).</li><li>Only odd-indexed original samples survive: folding \(+\) decimation by 2.</li></ul></div></div>	<span class="sub"><span class="sm"><span class="tier tHOT">HOT&nbsp;4</span> <span class="yr"><b>76 Ch</b>, <b>74 Ch</b>, <b>66 Ma</b>, <b>69 Bh</b></span> &nbsp;\(\cdot\)&nbsp;pure plotting marks &nbsp;\(\cdot\)&nbsp;every instance is worked in <b>Ch1-num &sect;8</b></span></span>	Ch 1 - Discrete-Time Signals and Systems	1.5 Transformation of the independent variable	theory	ch1 theory tier::HOT yr::66-Ma yr::69-Bh yr::74-Ch yr::76-Ch
Explain how the Fourier series coefficients are calculated	<span class="m">3</span><span class="m">4</span>		<div class="cols"><div class="col"><div class="lead">The pair</div> <ul><li>A periodic \(x[n]\) of period \(N\) has fundamental frequency \(\omega_0=2\pi/N\).</li></ul> \[ x[n]=\sum_{k=\langle N\rangle}a_k\,e^{jk(2\pi/N)n}    \quad\text{(synthesis)} \] \[ a_k=\frac1N\sum_{n=\langle N\rangle}x[n]\,e^{-jk(2\pi/N)n}    \quad\text{(analysis)} \] <ul><li>\(\langle N\rangle\) means <i>any</i> \(N\) consecutive values, usually \(0\) to \(N-1\).</li><li><span class="mk">\(a_k=a_{k+N}\)</span>: only \(N\) distinct coefficients exist, because         \(e^{j(k+N)\omega_0n}=e^{jk\omega_0n}\).</li><li>That is the one real difference from the continuous-time Fourier series, which has         infinitely many distinct coefficients.</li></ul></div><div class="col"><div class="lead">Deriving \(a_k\), if the question says &ldquo;explain the process&#x27;&#x27;</div> <ol><li>Start from the synthesis equation.</li><li>Multiply both sides by \(e^{-jr(2\pi/N)n}\) and sum over one period.</li><li>Interchange the two summations.</li><li>Use the orthogonality result         \[ \sum_{n=\langle N\rangle}e^{j(k-r)(2\pi/N)n}            =\begin{cases}N, &amp; k-r=0,\pm N,\pm2N\ldots\\ 0, &amp; \text{otherwise}\end{cases} \]</li><li>Every term dies except \(k=r\), leaving \(\sum x[n]e^{-jr(2\pi/N)n}=a_rN\).</li></ol> <div class="lead">Method for a numerical <span class="mk">(faster than the integral)</span></div> <ol><li>Find \(N\) first (&sect;1.4), then \(\omega_0=2\pi/N\).</li><li>Expand every \(\cos\)/\(\sin\) with Euler&#x27;s formula.</li><li>Force each exponent into the form \(jk(2\pi/N)n\) and read \(a_k\) off by inspection.</li><li>Use \(a_k=a_{k+N}\) for anything outside \(0\le k\le N-1\).</li></ol></div></div><div class="lead">Properties of the DTFS <span class="mk">(x[n], y[n] both period N)</span></div>  <table class="nt"><tr><th><b class="th">Property</b></th><th><b class="th">Signal</b></th><th><b class="th">Coefficient</b></th></tr><tr><td>Linearity</td><td>\(Ax[n]+By[n]\)</td><td>\(Aa_k+Bb_k\)</td></tr><tr><td>Time shift</td><td>\(x[n-n_0]\)</td><td>\(a_k\,e^{-jk(2\pi/N)n_0}\)</td></tr><tr><td>Frequency shift</td><td>\(e^{jM(2\pi/N)n}x[n]\)</td><td>\(a_{k-M}\)</td></tr><tr><td>Time reversal</td><td>\(x[-n]\)</td><td>\(a_{-k}\)</td></tr><tr><td>Conjugation</td><td>\(x^*[n]\)</td><td>\(a^*_{-k}\)</td></tr><tr><td>Periodic convolution</td><td>\(\sum_{r=\langle N\rangle}x[r]y[n-r]\)</td><td>\(N\,a_kb_k\)</td></tr><tr><td>Multiplication</td><td>\(x[n]y[n]\)</td><td>\(\sum_{l=\langle N\rangle}a_l\,b_{k-l}\)</td></tr><tr><td>Parseval</td><td>\(\frac1N\sum_{n=\langle N\rangle}|x[n]|^2\)</td><td>\(\sum_{k=\langle N\rangle}|a_k|^2\)</td></tr></table>  <span class="sub"><span class="sm"><b>Conjugate symmetry</b>, asked as a rider: if \(x[n]\) is real then \(a_{-k}=a^*_k\). Real <i>and even</i> \(\rightarrow\) \(a_k\) real and even; real <i>and odd</i> \(\rightarrow\) \(a_k\) imaginary and odd with \(a_0=0\). Parseval reads: total average power in one period \(=\) sum of the average powers \(|a_k|^2\) of all harmonics.</span></span>	<span class="sub"><span class="sm"><span class="tier tPIN">PIN&nbsp;2</span> <span class="yr">73 Shr, <b>72 Ch</b></span> &nbsp;\(\cdot\)&nbsp; <b>76 Ash</b> adds Dirichlet&#x27;s conditions, see &sect;1.7</span></span>	Ch 1 - Discrete-Time Signals and Systems	1.6 Discrete-time Fourier series (DTFS)	theory	ch1 theory tier::PIN yr::72-Ch yr::73-Shr yr::76-Ash
Explain the Fourier transform multiplication property for two sequences; write Dirichlet&#x27;s conditions	<span class="m">4+3</span>		<div class="cols"><div class="col"><div class="lead">The pair</div> \[ X(e^{j\omega})=\sum_{n=-\infty}^{\infty}x[n]e^{-j\omega n},\qquad    x[n]=\frac{1}{2\pi}\int_{2\pi}X(e^{j\omega})e^{j\omega n}\,d\omega \] <ul><li>Derived from the DTFS by letting \(N\to\infty\): the discrete lines \(Na_k\) merge into         the continuous envelope \(X(e^{j\omega})\).</li><li><span class="mk">\(X(e^{j\omega})\) is periodic in \(\omega\) with period \(2\pi\)</span>, because         \(e^{-jn(\omega+2\pi)}=e^{-j\omega n}\). So the inverse integral can be taken over         <i>any</i> \(2\pi\) span.</li><li>Exists when \(x[n]\) is absolutely summable, \(\sum|x[n]|&lt;\infty\).</li></ul> <div class="lead">Dirichlet&#x27;s conditions <span class="mk">(quote all three)</span></div> <ol><li>\(x[n]\) is absolutely summable, \(\sum_n|x[n]|&lt;\infty\).</li><li>\(x[n]\) has a finite number of maxima and minima in any finite interval.</li><li>\(x[n]\) has a finite number of finite discontinuities in any finite interval.</li></ol> <span class="sub"><span class="sm">Sufficient, not necessary: \(u[n]\) fails condition 1 yet has a DTFT once impulses in \(\omega\) are allowed.</span></span></div><div class="col"><div class="lead">Multiplication property, and why it is not a plain product</div> <ul><li>Convolution in one domain \(=\) multiplication in the other, both ways:</li></ul> \[ x[n]*h[n]\;\longleftrightarrow\;X(e^{j\omega})H(e^{j\omega}) \] \[ x_1[n]\,x_2[n]\;\longleftrightarrow\;    \frac{1}{2\pi}\int_{2\pi}X_1(e^{j\theta})X_2(e^{j(\omega-\theta)})\,d\theta \] <ul><li>The second is a <b>periodic (circular) convolution</b> of the two spectra,         scaled by \(1/2\pi\), integrated over any \(2\pi\) interval.</li><li><span class="mk">It has to be periodic</span>: both spectra are \(2\pi\)-periodic, so an ordinary         infinite convolution would diverge.</li><li>Proof in one move: substitute the inverse DTFT of \(x_1[n]\) into the forward DTFT of         the product, then swap the sum and the integral.</li><li>This is the windowing property used to explain Gibbs oscillation in Ch 5:         truncating \(h[n]\) with a window multiplies in time, so it convolves in frequency         and smears the band edge.</li></ul></div></div><div class="lead">Properties of the DTFT</div>  <table class="nt"><tr><th><b class="th">Property</b></th><th><b class="th">Signal</b></th><th><b class="th">Transform</b></th></tr><tr><td>Linearity</td><td>\(ax_1[n]+bx_2[n]\)</td><td>\(aX_1(e^{j\omega})+bX_2(e^{j\omega})\)</td></tr><tr><td>Time shift</td><td>\(x[n-n_0]\)</td><td>\(e^{-j\omega n_0}X(e^{j\omega})\)</td></tr><tr><td>Frequency shift</td><td>\(e^{j\omega_0n}x[n]\)</td><td>\(X(e^{j(\omega-\omega_0)})\)</td></tr><tr><td>Time reversal</td><td>\(x[-n]\)</td><td>\(X(e^{-j\omega})\)</td></tr><tr><td>Conjugation</td><td>\(x^*[n]\)</td><td>\(X^*(e^{-j\omega})\)</td></tr><tr><td>Convolution</td><td>\(x[n]*h[n]\)</td><td>\(X(e^{j\omega})H(e^{j\omega})\)</td></tr><tr><td>Multiplication</td><td>\(x_1[n]x_2[n]\)</td><td>periodic convolution of the spectra, \(\div2\pi\)</td></tr><tr><td>Parseval</td><td>\(\sum_n|x[n]|^2\)</td><td>\(\frac{1}{2\pi}\int_{2\pi}|X(e^{j\omega})|^2d\omega\)</td></tr></table>  <span class="sub"><span class="sm">If \(x[n]\) is real, \(X(e^{j\omega})\) is conjugate symmetric: magnitude even, phase odd. Real and even \(\rightarrow\) transform real and even; real and odd \(\rightarrow\) transform imaginary and odd. <span class="mk">Parseval here says energy, not power</span>: it is the DTFS version that talks about power.</span></span>	<span class="sub"><span class="sm"><span class="tier tPIN">PIN&nbsp;1</span> <span class="yr">76 Ash</span> &nbsp;\(\cdot\)&nbsp;the DTFT itself is assumed knowledge in every Ch 3 question, so this section is a prerequisite more than a target</span></span>	Ch 1 - Discrete-Time Signals and Systems	1.7 Discrete-time Fourier transform (DTFT)	theory	ch1 theory tier::PIN yr::76-Ash
