#separator:tab
#html:true
#notetype column:0
#tags column:8
Chapter 1 &mdash; Introduction: how is it examined?			<span class="sub"><span class="sm">2 hrs &nbsp;\(\cdot\)&nbsp;in 22/23 papers &nbsp;\(\cdot\)&nbsp;2 topics, both TOP tier &nbsp;\(\cdot\)&nbsp;no numericals in this ch.</span></span><div class="lead">Whole chapter in 2 items:</div> <ul><li>KDD process <span class="tier tTOP">TOP&nbsp;9</span></li><li>DW fundamentals <span class="tier tTOP">TOP&nbsp;12</span></li></ul><hr>		Ch 1 - Introduction		opener	ch1 opener
What is DM? + Explain steps of KDD process	<span class="m">2+3</span><span class="m">2+5</span><span class="m">2+6</span><span class="m">1+5</span><span class="m">4</span>		<div class="lead">DM</div> <ul><li>Extraction of <b>interesting</b> patterns/knowledge from large data.</li><li>Interesting \(=\) non-trivial \(+\) implicit \(+\) previously unknown \(+\) potentially useful.</li><li>Not retrieval:   <ul><li>Query tool \(\rightarrow\) answers what you already know to ask.</li><li>DM \(\rightarrow\) finds patterns you didnt know to look for.</li></ul></li><li>Also called: KDD, knowledge extraction, data/pattern analysis, data archaeology, data dredging, BI.</li></ul><div class="lead">Not DM</div> <ul><li>Phone-book lookup, <code>SELECT AVG(salary)</code>, web search \(\rightarrow\) info retrieval (query states exactly what is wanted).</li></ul><div class="cols"><div class="col"><div class="lead">Descriptive DM</div> <ul><li>Characterise the general properties of data.</li><li>Unsupervised.</li><li>&ldquo;What is in data? Unusual patterns?&rdquo;</li><li>Clustering, association, summarisation, visualisation.</li></ul></div><div class="col"><div class="lead">Predictive DM</div> <ul><li>Infer unknown \(Y=f(X)\) from known \(X\).</li><li>Supervised.</li><li>&ldquo;Which customers leave in 6 months?&rdquo;</li><li>Classification, regression, prediction.</li></ul></div></div><div class="lead">DM vs KDD</div> <ul><li>Strictly: DM \(=\) <b>one step</b> of KDD (the step that runs the algorithms).</li><li>In practice treated as synonyms. <b>IOE papers use them interchangeably.</b></li><li><span class="mk">If Q says &ldquo;steps of data mining&rdquo; \(\rightarrow\) write KDD steps.</span></li></ul> <div class="cols"><div class="col"><div class="lead">KDD: 7 steps (Han &amp; Kamber) \(\rightarrow\) default answer</div> <ol><li><b>Data cleaning</b>: rm noise, smooth outliers, fill missing, fix inconsistency.</li><li><b>Data integration</b>: combine multiple heterogeneous sources.</li><li><b>Data selection</b>: retrieve only task-relevant data.</li><li><b>Data transformation</b>: normalise, aggregate, generalise, discretise.</li><li><b>Data mining</b>: apply algorithms. <i>Essential step.</i></li><li><b>Pattern evaluation</b>: keep truly interesting patterns (support, confidence, lift, novelty).</li><li><b>Knowledge presentation</b>: visualise + represent for user.</li></ol>  <span class="sm">Steps 1&ndash;4 \(=\) data preparation \(\approx\) <b>60% of effort</b>.</span></div><div class="col"><div class="fig"><img src="dm_kdd_process.png"></div></div></div><div class="lead"><span class="mk">Conflict in your sources</span> <span class="chip gd">verified/added</span></div> <ul><li><code>Chapter 2_Data Warehouse.ppt</code> \(\rightarrow\) <b>6 stages</b> (Adriaans &amp; Zantinge):         selection \(\rightarrow\) cleaning \(\rightarrow\) enrichment \(\rightarrow\) coding \(\rightarrow\) mining \(\rightarrow\) reporting.</li><li>Han &amp; Kamber (syllabus ref. book 2) \(\rightarrow\) <b>7 steps</b> above.</li><li>Both examined at IOE (old CT 725 paper asked &ldquo;Cleaning, Enrichment, Coding&rdquo;).</li><li><span class="mk">Write 7-step version, add 1 line naming the 6-stage variant.</span></li></ul><div class="lead">Answer skeleton [5&ndash;7]</div> <ol><li>DM definition, 1 line \(+\) &ldquo;one step of KDD&rdquo;.</li><li><span class="mk">Draw the pipeline</span> (markers reward the fig).</li><li>7 steps, <b>1 line each</b>. No more.</li><li>Close: &ldquo;steps 1&ndash;4 \(=\) data prep \(\approx\)60% effort&rdquo;.</li></ol>	<span class="sub"><span class="sm"><span class="tier tTOP">TOP&nbsp;9</span> <span class="yr">82 Bh, 79 Ba</span> &nbsp;Most repeated Q in the paper.</span></span>	Ch 1 - Introduction	1.1 Data Mining Origin	theory	ch1 theory tier::TOP yr::79-Ba yr::82-Bh
Origin of DM: why it emerged	<span class="m">2</span><span class="m">3</span>		<div class="cols"><div class="col"><div class="lead">Confluence of disciplines</div> <ul><li>DB systems</li><li>Statistics</li><li>Machine learning</li><li>AI / pattern recognition</li><li>Visualisation</li><li>High-performance computing</li></ul> <div class="lead">Drivers</div> <ul><li>Automated collection \(\rightarrow\) data explosion (POS scanners, txn logs, sensors, satellites, Web).</li><li>Cheap storage \(\rightarrow\) hoarding became rational. Analysis did not keep pace.</li><li>Competition \(\rightarrow\) unmined data \(=\) wasted asset.</li></ul></div><div class="col"><div class="lead">Why traditional/manual analysis fails</div> <ul><li>Enormity (TB scale).</li><li><b>High dimensionality</b> (1000s of attrs).</li><li>Sources heterogeneous \(+\) distributed.</li><li>Data collected for <b>ops</b>, not analysis \(\rightarrow\) noisy, incomplete, inconsistent.</li></ul> <div class="lead">DM vs query tools (SQL)</div> <ul><li>SQL: must know <i>exactly</i> what you want. DM: only <i>vaguely</i>.</li><li>SQL \(\rightarrow\) facts/aggregates. DM \(\rightarrow\) patterns/trends.</li><li>SQL: deterministic retrieval. DM: ML/statistical search.</li><li>Hidden relations:   <ul><li>SQL cant trace them</li><li>DM finds them automatically</li></ul></li></ul></div></div>		Ch 1 - Introduction	1.1 Data Mining Origin	theory	ch1 theory
&ldquo;The world is data rich but information poor&rdquo;. Justify.	<span class="m">8</span>		<ol><li><b>State paradox</b>: TBs stored, decisions still on intuition. Data \(\ne\) info \(\ne\) knowledge.</li><li><b>Data rich</b>: POS logs, bank txns, telecom call records, remote sensing, Web. Growth automated.</li><li><b>Info poor, why:</b>   <ul><li>Volume defeats manual inspection.</li><li>Data is operational \(\rightarrow\) noisy, incomplete, inconsistent.</li><li>Scattered across heterogeneous systems.</li><li>Query tools answer only what is asked.</li><li>Shortage of analysts.</li></ul></li><li><b>Consequence</b>: &ldquo;data tombs&rdquo; \(=\) archives written, never read. Decisions made w/o evidence already paid for.</li><li><b>Resolution</b>:   <ul><li>DW consolidates \(+\) cleans</li><li>DM extracts the patterns</li><li>Data \(\rightarrow\) Info \(\rightarrow\) Knowledge \(\rightarrow\) Decision</li></ul></li><li><b>Eg</b>: retail chain holds millions of receipts (rich) but cant say which products sell together (poor)         until association analysis gives {nappies} \(\Rightarrow\) {beer}.</li></ol>	<span class="sub"><span class="sm"><span class="tier tPIN">PIN&nbsp;1</span> <span class="yr">73 Shr</span> &nbsp;Justify-in-own-words \(\rightarrow\) needs structure, not definitions.</span></span>	Ch 1 - Introduction	1.1 Data Mining Origin	theory	ch1 theory tier::PIN yr::73-Shr
&ldquo;Data mining turns a large collection of data into knowledge&rdquo;. Justify	<span class="m">6</span>		<div class="cols"><div class="col"><div class="lead">The ladder, one rung at a time</div> <ol><li><b>Data</b>: raw recorded facts, no context.         <i>Eg</i> 2 million supermarket receipt lines.</li><li><b>Information</b>: data aggregated and given context by querying.         <i>Eg</i> &ldquo;nappies sold 4,200 units last month&rdquo;. A DW and OLAP get you here, and         <span class="mk">this is as far as a query tool can go</span> &mdash; it answers only what you thought to ask.</li><li><b>Knowledge</b>: patterns that hold across the data and <span class="mk">were not asked for</span>.         <i>Eg</i> &ldquo;customers buying nappies on Friday evening also buy beer&rdquo;. Only <b>data         mining</b> produces this rung, because only it searches the space of possible patterns.</li><li><b>Decision / wisdom</b>: acting on the pattern. <i>Eg</i> move the beer display beside         the nappies, and measure the lift in basket value.</li></ol></div><div class="col"><div class="lead">Why the step to knowledge is data mining&#x27;s alone</div> <ul><li><span class="mk">Queries are deductive, mining is inductive.</span> SQL retrieves what you specify; mining         induces a general rule from the instances.</li><li>It is <b>automatic and exhaustive</b>: Apriori tests every itemset the thresholds allow,         far more hypotheses than an analyst would think to write.</li><li>The output is <b>predictive</b>, not just descriptive: a classifier built on past data         labels tuples that do not exist yet.</li><li>The patterns are required to be <span class="mk">valid, novel, useful and understandable</span> &mdash; Fayyad&#x27;s         four conditions. <span class="mk">&ldquo;Novel&rdquo; is what makes it knowledge</span>: a pattern you already knew is         information, not knowledge.</li></ul> <div class="lead">Close with the qualifier</div> <ul><li>DM does not turn <i>all</i> data into knowledge. Garbage in, garbage out: without         preprocessing (Ch 2) it turns noise into confident nonsense, and without pattern         evaluation (&sect;4.1) it reports rules that are strong but false.</li></ul></div></div>	<span class="sub"><span class="sm"><span class="yr">81 Bh</span> &nbsp;<span class="mk">The mirror image of the question above</span>, and it is asked separately, so learn it as its own answer. That one asks why we are <i>stuck</i>; this one asks how DM <i>gets us out</i>. <span class="mk">Structure the answer on the four-rung ladder</span> and carry one example all the way up it. <span class="chip gd">verified/added</span></span></span>	Ch 1 - Introduction	1.1 Data Mining Origin	theory	ch1 theory yr::81-Bh
Architecture of a typical DM system (+Fig)	<span class="m">2</span><span class="m">4+2</span>		<div class="cols"><div class="col"><ul><li><b>Data sources</b>: DB, DW, WWW, other repos.</li><li><b>DB/DW server</b>: fetches data relevant to the request.</li><li><b>Knowledge base</b>: domain knowledge guiding search \(+\) judging interestingness         (concept hierarchies, user beliefs, constraints).</li><li><b>DM engine</b>: characterisation, association, classification, clustering, outlier, evolution analysis.</li><li><b>Pattern evaluation</b>: applies interestingness measures.         <i>Best pushed into the engine</i> so dull patterns are never generated.</li><li><b>UI</b>: specify task, browse schemas/hierarchies, visualise results.</li></ul></div><div class="col"><div class="fig"><img src="dm_dm_system_arch.png"></div></div></div>	<span class="sub"><span class="sm"><span class="yr">78 Bh</span> asked as &ldquo;Explain DM process with diagram&rdquo;.</span></span>	Ch 1 - Introduction	1.1 Data Mining Origin	theory	ch1 theory yr::78-Bh
DM functionalities	<span class="m">2</span><span class="m">4</span>		<ul><li><b>Characterisation &amp; discrimination</b>:   <ul><li>summarise the target class</li><li>contrast it against a comparative class</li></ul></li><li><b>Association &amp; correlation</b>: freq patterns, rules \(X\Rightarrow Y\).  <span class="sm">\(\rightarrow\) Ch 4</span></li><li><b>Classification &amp; prediction</b>: assign class labels / predict numeric.  <span class="sm">\(\rightarrow\) Ch 3</span></li><li><b>Cluster analysis</b>: group w/o pre-defined labels.  <span class="sm">\(\rightarrow\) Ch 5</span></li><li><b>Outlier / anomaly</b>: objects not complying w/ general behaviour.         Noise to discard, but <i>the prize</i> in fraud.  <span class="sm">\(\rightarrow\) Ch 6</span></li><li><b>Evolution analysis</b>: trends for objects changing over time.  <span class="sm">\(\rightarrow\) Ch 7</span></li></ul>		Ch 1 - Introduction	1.1 Data Mining Origin	theory	ch1 theory
What is DM? Explain its applications.	<span class="m">10</span>		<table class="nt"><tr><th><b class="th">Domain</b></th><th><b class="th">What is mined</b></th></tr><tr><td>Biomedical / DNA</td><td>Similarity search across DNA seqs; <b>association analysis</b> for co-occurring genes (most diseases \(=\) gene combinations, not 1 gene); path analysis linking genes to disease stages.</td></tr><tr><td>Financial</td><td>DW design for multidim analysis; loan payment prediction, credit policy; classification \(+\) clustering for customer targeting; <b>money-laundering detection</b>.</td></tr><tr><td>Retail / market basket</td><td>Which products sell together; customer retention; campaign effectiveness; recommendation.</td></tr><tr><td>Telecom</td><td>Fraudulent usage patterns; multidim analysis of calls; mobile user behaviour.</td></tr><tr><td>Intrusion detection</td><td>Anomaly detection over traffic \(+\) audit logs.  <span class="sm">\(\rightarrow\) Ch 6</span></td></tr><tr><td>Web mining</td><td>PageRank, usage \(+\) structure mining.  <span class="sm">\(\rightarrow\) Ch 7</span></td></tr></table>	<span class="sub"><span class="sm"><span class="tier tPIN">PIN&nbsp;1</span> <span class="yr">71 Ch</span></span></span>	Ch 1 - Introduction	1.1 Data Mining Origin	theory	ch1 theory tier::PIN yr::71-Ch
What is a DW? Write its key features.	<span class="m">2</span><span class="m">2+4</span><span class="m">2+5</span>		<div class="lead">Definition (Inmon)</div> <ul><li>DW \(=\) <b>subject-oriented</b>, <b>integrated</b>, <b>time-variant</b>, <b>non-volatile</b>         collection of data supporting management decision-making.</li><li><span class="mk">Memorise as S-I-T-N</span> \(\rightarrow\) this is the whole &ldquo;key features&rdquo; answer.</li></ul><div class="cols"><div class="col"><ul><li><b class="th">S = Subject-oriented</b>   <ul><li>Organised around subjects (customer, product, sales), not daily ops.</li><li>Data useless for decisions is excluded.</li></ul></li><li><b class="th">I = Integrated</b>   <ul><li>Built from heterogeneous sources (relational DBs, flat files, txn records).</li><li>Cleaning \(+\) integration force consistent naming, encoding, units.</li><li>\(\rightarrow\) 1 name per entity.</li></ul></li></ul></div><div class="col"><ul><li><b class="th">T = Time-variant</b>   <ul><li>Long history (5&ndash;10 yrs).</li><li>Every key structure carries a time element.</li><li>Operational DB holds only the <i>current</i> value.</li></ul></li><li><b class="th">N = Non-volatile</b>   <ul><li>Physically separate. No operational update.</li><li>Only 2 ops: <b>initial load</b> \(+\) <b>access</b>.</li><li>\(\rightarrow\) no txn processing, recovery or concurrency control needed.</li></ul></li></ul></div></div><ul><li><b>Data warehous<i>ing</i></b> \(=\) the <i>process</i> of building \(+\) using a DW         (extract, transform operational data, load into central store).</li></ul>	<span class="sub"><span class="sm"><span class="tier tTOP">TOP&nbsp;12</span> <span class="yr">73 Ch, 70 Asa, 69 Ch</span></span></span>	Ch 1 - Introduction	1.2 Data Mining &amp; Data Warehousing Basics	theory	ch1 theory tier::TOP yr::69-Ch yr::70-Asa yr::73-Ch
How is DW diff from a DB? How are they similar?	<span class="m">2+2</span>		<table class="nt"><tr><th></th><th><b class="th">Operational DB (OLTP)</b></th><th><b class="th">Data warehouse (OLAP)</b></th></tr><tr><td>Purpose</td><td>Run day-to-day business</td><td>Support analysis \(+\) decisions</td></tr><tr><td>Content</td><td>Current, detailed</td><td>Historical, summarised \(+\) detailed</td></tr><tr><td>Design</td><td>Highly normalised, many tables (ER)</td><td>De-normalised, few tables; star/snowflake</td></tr><tr><td>Access</td><td>Short read/write txns</td><td>Long, complex, read-mostly</td></tr><tr><td>Users</td><td>Clerks, DBAs, front-line</td><td>Managers, analysts, execs</td></tr><tr><td>Unit of work</td><td>Simple txn</td><td>Complex query</td></tr><tr><td>Records/query</td><td>Tens</td><td>Millions</td></tr><tr><td>Size</td><td>100 MB&ndash;GB</td><td>100 GB&ndash;TB</td></tr></table><div class="cols"><div class="col"><div class="lead">Similarities <span class="chip gd">verified/added</span></div> <ul><li>Both persistent, managed data stores.</li><li>Both usually on a relational DBMS.</li><li>Both use schemas, indexes, SQL.</li><li>Both enforce integrity \(+\) security.</li><li>DW is <i>built from</i> the DBs.</li></ul></div><div class="col"><div class="lead">Why keep them separate</div> <ul><li><b>Performance</b>: opposite tuning.   <ul><li>DBMS \(\rightarrow\) OLTP (indexing, concurrency, recovery)</li><li>DW \(\rightarrow\) OLAP (multidim views, consolidation)</li><li>both on 1 system degrades both</li></ul></li><li><b>Missing data</b>: decisions need history ops DBs dont keep.</li><li><b>Consolidation</b>: needs aggregation across heterogeneous sources.</li><li><b>Data quality</b>: inconsistent codes/formats reconciled once, centrally.</li></ul></div></div>	<span class="sub"><span class="sm"><span class="tier tPIN">PIN&nbsp;3</span> <span class="yr">75 Ash, 73 Ch</span> &nbsp;Asks <b>both</b> directions. <span class="yr">73 Ch</span> asks it as DW vs <b>RDBMS</b>.</span></span>	Ch 1 - Introduction	1.2 Data Mining &amp; Data Warehousing Basics	theory	ch1 theory tier::PIN yr::73-Ch yr::75-Ash
